ISO_2,ISO_3,country,year,corporate_rate,loss_carryback,loss_carryforward,machines_cost_recovery,buildings_cost_recovery,intangibles_cost_recovery,inventory,allowance_corporate_equity,patent_box,r_and_d_credit,digital_services_tax,corporate_alt_minimum,corporate_surtax,corporate_other_rev,top_income_rate,threshold_top_income_rate,tax_wedge,personal_surtax,personal_other_rev,capital_gains_rate,index_capital_gains,dividends_rate,vat_rate,vat_threshold,vat_base,property_tax,property_tax_collections,net_wealth,estate_or_inheritance_tax,transfer_tax,asset_tax,capital_duties,financial_transaction_tax,dividends_exemption,capital_gains_exemption,country_limitations,dividends_withholding_tax,interest_withholding_tax,royalties_withholding_tax,tax_treaties,cfc_rules,thin_capitalization_rules,property_tax_str,property_taxes_deductible_str,property_tax_collections_str,net_wealth_str,estate_or_inheritance_tax_str,transfer_tax_str,asset_tax_str,capital_duties_str,financial_transaction_tax_str
JP,JPN,Japan,2014,0.3462,0.5,7.2,0.7696022727,0.2789584488,0.7870751652,0.5,0,0,0.1,0,1,0,0.251,0.489858,4.610718,1.1352959738,2.1,0,0.204,0,0.20315,5,88240.3441644497,0.6868906717,0.5,0.8074844078,0,1,1,0,1,0,0.95,0,0,0.2,0.2,0.2,60,0.5,0.5,Tax on Real Property,Yes,0.8%,No,Inheritance and Gift Tax,Real Estate Transfer Tax,Fixed assets tax,Yes,No
KR,KOR,Korea,2014,0.242,0.5,10,0.9217205323,0.5479539106,0.7378887028,1,0,1,0.1525,0,6,0,0,0.41914554,9.142187,1.1313722102,0,0,0,1,0.35398,10,26238.6011968703,0.6587566935,0,0.3046186342,0,1,1,0,1,1,0,0,1,0.22,0.22,0.22,80,0.5,0.5,Tax on Real Property,No,0.4%,No,Inheritance and Gift Tax,Real Estate Transfer Tax,No,Yes,Yes
LT,LTU,Lithuania,2014,0.15,0,70,0.9052631579,0.8269230769,0.966194332,1,0,0,0.28,0,2,0,0,0.171,0.211872,1.0640122417,0,0,0.15,NA,0.15,21,101580,0.4984264092,0.5,0.1940832064,0,1,0,0,0,0,1,1,1,0.15,0.1,0.1,49,0.25,0.5,Tax on Real Property,Yes,0.2%,No,Inheritance Tax,No,No,No,No
LU,LUX,Luxembourg,2014,0.2922,0,100,0.8734173506,0.479318672,0.8698652539,1,0,1,-0.01,0,2,7,0.093,0.38,3.048602,1.360545623,7,0,0,1,0.2,15,25182.6246203907,1.0300266316,0.5,0.0519675654,0,1,1,1,0,0,1,1,0,0.15,0,0,69,0,0.5,Tax on Real Property,Yes,0.0%,No,Inheritance and Gift Tax,Real Estate Transfer Tax,Tax on Corporate Net Assets,No,No
LV,LVA,Latvia,2014,0.15,0,100,0.9052631579,0.6142857143,0.8698652539,0.5,0,0,0,0,0,0,0,0.254,0.104378,1.038924312,0,0,0.15,0,0.1,21,100402,0.4606598212,0.5,0.3854930506,0,0,1,0,0,0,1,1,1,0,0.05,0.05,56,0,0.5,Tax on Real Property,Yes,0.4%,No,None,Stamp Duty on Transfer of Real Property,No,No,No
MX,MEX,Mexico,2014,0.3,0,10,0.7378887028,0.5479539106,0.7378887028,1,0,0,-0.01,0,0,0,5.848,0.3165,3.999949,1.2728140928,0,16.51,0.1,1,0.17142857,16,0,0.3139088299,0.5,0.0959301251,0,1,1,0,0,0,0,0,1,0.1,0.4,0.4,50,0.5,0.5,Tax on Real Property,Yes,0.1%,No,Income Tax can apply,Real Estate Transfer Tax,No,No,No
NL,NLD,Netherlands,2014,0.25,1,9,0.9410643145,0.3384747328,0.8698652539,1,0,1,0.1975,0,1,0,0.136,0.81570593,1.215933,1.5227268001,0,0,0.3,1,0.22,21,1537.1932964077,0.5158949563,0.5,0.3465786464,0,1,1,1,0,0,1,1,0,0.15,0,0,96,0,0,Tax on Real Property,Yes,0.5%,No,Inheritance and Gift Tax,Real Estate Transfer Tax,Bank Tax,No,No
NO,NOR,Norway,2014,0.27,0,100,0.7818181818,0.3739130435,0.7378887028,0,0,0,0.235,0,0,0,0,0.478,1.578054,1.283257349,0,0,0.27,0,0.27,25,5181.6174400704,0.5699675507,0.5,0.1429639739,1,0,1,0,0,0,0.97,0.97,1,0.25,0,0,88,0.375,1,Tax on Real Property,Yes,0.2%,Net Wealth Tax,None,Stamp Duty on Transfer of Real Property,No,No,No
NZ,NZL,New Zealand,2014,0.28,0,100,0.7319148936,0.3071428571,0.5479539106,0.5,0,0,-0.015,0,0,0,3.7,0.33,1.306212,1.5460546524,0,0,0,1,0.06944444,15,38134.0006652947,0.939536673,1,1.2373906536,0,0,0,0,0,0,1,1,0,0.3,0.15,0.15,37,0.25,0.5,Land Value Tax (d),No,1.2%,No,None,No,No,No,No
PL,POL,Poland,2014,0.19,0,2.5,0.7378887028,0.3384747328,0.8698652539,1,0,0,0,0,0,0,0,0.38751185,2.416807,1.0441421178,0,0,0.19,0,0.19,23,77747.204225308,0.4303852864,0.5,0.8274611807,0,1,1,0,1,1,1,0,1,0.19,0.2,0.2,84,0,0.5,Tax on Real Property,Yes,0.9%,No,Inheritance and Gift Tax,Real Estate Transfer Tax,Bank Tax,Yes,Yes
PT,PRT,Portugal,2014,0.315,0,8.4,0.8884112474,0.5479539106,0.7378887028,0.5,0,0,0.365,0,4,7,0.385,0.58785,15.929716,1.3199323729,2.5,0,0.28,1,0.28,23,14317.549643698,0.4727567616,0.5,0.2866431509,0,1,1,1,0,0,1,0,1,0.25,0.25,0.25,61,0.5,1,Tax on Real Property,Yes,0.4%,No,Stamp Duty applies to Inheritance and Gifts,Real Estate Transfer Tax,Bank Tax,No,No
SE,SWE,Sweden,2014,0.22,0,100,0.86,0.479318672,0.86,0,0,0,-0.01,0,0,0,0,0.5673,1.518355,1.2316564782,0,-0.021,0.3,0,0.3,25,0,0.551259593,0.5,0.3633846018,0,0,1,1,0,0,1,1,0,0.3,0,0,79,0.5,0.5,Tax on Real Property,Yes,0.3%,No,None,Stamp Duty on Transfer of Real Property,Bank Tax,No,No
