ISO_2,ISO_3,country,year,corporate_rate,loss_carryback,loss_carryforward,machines_cost_recovery,buildings_cost_recovery,intangibles_cost_recovery,inventory,allowance_corporate_equity,patent_box,r_and_d_credit,digital_services_tax,corporate_alt_minimum,corporate_surtax,corporate_other_rev,top_income_rate,threshold_top_income_rate,tax_wedge,personal_surtax,personal_other_rev,capital_gains_rate,index_capital_gains,dividends_rate,vat_rate,vat_threshold,vat_base,property_tax,property_tax_collections,net_wealth,estate_or_inheritance_tax,transfer_tax,asset_tax,capital_duties,financial_transaction_tax,dividends_exemption,capital_gains_exemption,country_limitations,dividends_withholding_tax,interest_withholding_tax,royalties_withholding_tax,tax_treaties,cfc_rules,thin_capitalization_rules,property_tax_str,property_taxes_deductible_str,property_tax_collections_str,net_wealth_str,estate_or_inheritance_tax_str,transfer_tax_str,asset_tax_str,capital_duties_str,financial_transaction_tax_str
SI,SVN,Slovenia,2014,0.17,0,50,0.8698652539,0.3914060129,0.7378887028,0.5,0,0,0.17,0,1,0,0.026,0.6105,5.390324,1.2015062548,0,0,0,1,0.25,22,74142.1047824595,0.5702608129,0,0.2181746501,0,1,1,0,0,0,0.95,0.475,1,0.15,0.15,0.15,53,0,0.5,Tax on Real Property,No,0.3%,No,Inheritance and Gift Tax,Real Estate Transfer Tax,Bank Tax,No,No
SK,SVK,Slovak Republic,2014,0.22,0,4,0.873879108,0.6527281193,0.8698652539,0.5,0,0,-0.01,0,3,0,0.79,0.3505,3.855923,1.1216121065,0,0,0.22,0,0,20,86990.532950811,0.4327634143,0.5,0.2148373335,0,0,0,1,0,0,1,0,1,0,0.19,0.19,66,0,0,Tax on Real Property,Yes,0.3%,No,None,No,No,No,No
TR,TUR,Turkey,2014,0.2,0,5,0.8641491485,0.4310687365,0.6944143561,0.5,0,0,0.05,0,0,0,0,0.35041,4.283921,1.1809526718,0.759,0,0,1,0.175,18,0,0.4042903354,0.5,0.1037818247,0,1,1,0,1,1,1,1,0,0.15,0.1,0.2,80,0.5,0.5,Tax on Real Property,Yes,0.1%,No,Inheritance and Gift Tax,Real Estate Transfer Tax,No,Yes,Yes
US,USA,United States,2014,0.390755,2,20,0.938462733,0.3495831117,0.6327513389,1,0,0,0.055,0,1,0,0,0.486,8.305387,1.2555559807,0,0,0.2858,0,0.28583863,7.2,0,0.3403043397,0.5,1.57727335,0,1,1,1,0,0,0,0,0,0.3,0.3,0.3,66,0.25,0.5,Tax on Real Property,Yes,1.6%,No,Inheritance and Gift Tax,Real Estate Transfer Tax,Tangible Property Taxes and Capital Stock Taxes,No,No
AT,AUT,Austria,2015,0.25,0,75,0.8134631952,0.3914060129,0.7378887028,1,0,0,0.12,0,2,0,0.981,0.5,13.879673,1.109893603,0,0,0.25,0,0.25,20,34987.893314216,0.5838453877,0,0.0921961495,0,0,1,1,1,0,1,1,0,0.25,0,0.2,85,0,0.5,Tax on Real Property,No,0.1%,No,None,Real Estate Transfer Tax,Bank Tax,No,No
AU,AUS,Australia,2015,0.3,0,100,0.8514849715,0.479318672,0.5479539106,0.5,0,0,0.1425,0,0,0,0,0.445,2.266751,1.4029020015,2,0,0.245,0,0.27121,10,48730.6403375008,0.4759218764,1,0.7252295685,0,0,1,0,0,0,1,1,0,0.3,0.1,0.3,44,0.25,0.5,Land Tax Levied by Individual States (a),No,0.8%,No,None,Stamp Duty on Transfer of Real Property,Bank Tax,No,No
BE,BEL,Belgium,2015,0.3399,0,100,0.8758973492,0.6224048788,1.0048652539,1,1,1,0.155,0,3,3,0.029,0.5839317,1.592011,1.1970861194,0,0,0,1,0.25,21,6319.0497600504,0.4729285707,0.5,0.5518880994,0,1,1,1,0,1,0.95,0.987878788,0,0.25,0.25,0.25,91,0,0.5,Tax on Real Property (b),Yes,0.6%,Wealth Tax on Selected Assets,Inheritance and Gift Tax,Real Estate Transfer Tax,Bank Tax,No,Yes
CA,CAN,Canada,2015,0.267,3,20,0.9651162791,0.2421052632,0.5189655172,0.5,0,0,0.2125,0,1,0,0.907,0.495296,3.421462,1.2316748636,0,0,0.2475,0,0.338214,10.6,23453.725818895,0.3636565038,0.5,1.5353989215,0,0,1,1,1,0,1,0.5,1,0.25,0.25,0.25,93,0.25,0.5,Tax on Real Property,Yes,1.5%,No,None,Real Estate Transfer Tax,Bank Tax in certain provinces,Yes,No
CH,CHE,Switzerland,2015,0.21148581,0,7,0.86,0.5548387097,0.9052631579,1,0,0,-0.01,0,0,0,4.482,0.41752888,3.461304,1.3324699831,0,0,0,1,0.21135,8,63826.8268100133,0.6995325078,0.5,0.0615141877,1,1,1,1,1,1,1,1,0,0.35,0.35,0,90,0,0.5,Tax on Real Property,Yes,0.1%,Net Wealth Tax,Many cantons levy both Estate and Gift Taxes,Real Estate Transfer Tax,Cantonal/Community Equity Tax,Yes,Yes
CL,CHL,Chile,2015,0.24,100,100,0.6326116598,0.3384747328,0,0.5,0,0,0.31,0,0,0,5.535,0.4,10.379357,1.1616799525,0,0,0.2,0,0.22580645,19,0,0.6379104424,0.5,0.4116171523,0,1,0,1,0,0,0,0,1,0.35,0.35,0.15,25,0,0.5,Tax on Real Property,Yes,0.4%,No,Inheritance and Gift Tax,No,Yearly fee on tax-adjusted equity,No,No
